season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2006,LAR,M.Bulger,00-0019599,16,1,17,1977-04-05,2000.0,NO
2006,LV,A.Walter,00-0023504,9,2,16,1982-05-11,2005.0,LV
2006,MIA,J.Harrington,00-0021141,11,5,16,1978-10-21,2002.0,DET
2006,MIN,B.Johnson,00-0008442,14,1,15,1968-09-13,1992.0,MIN
2006,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2006,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2006,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2006,NYJ,C.Pennington,00-0019559,16,1,17,1976-06-26,2000.0,NYJ
2006,PHI,D.McNabb,00-0011022,10,1,11,1976-11-25,1999.0,PHI
2006,PIT,B.Roethlisberger,00-0022924,15,2,17,1982-03-02,2004.0,PIT
2006,SEA,M.Hasselbeck,00-0007091,12,1,17,1975-09-25,1998.0,GB
2006,SF,A.Smith,00-0023436,16,1,17,1984-05-07,,
2006,TB,B.Gradkowski,00-0024408,11,5,15,1983-01-27,2006.0,TB
2006,TEN,V.Young,00-0024218,13,4,17,1983-05-18,2006.0,TEN
2006,WAS,M.Brunell,00-0002110,9,1,10,1970-09-17,1993.0,GB
2007,ARI,K.Warner,00-0017200,11,6,17,1971-06-22,,
2007,ATL,J.Harrington,00-0021141,10,1,13,1978-10-21,2002.0,DET
2007,BAL,K.Boller,00-0022164,8,2,15,1981-06-17,2003.0,BAL
2007,BUF,T.Edwards,00-0025479,9,4,17,1983-10-30,2007.0,BUF
2007,CAR,V.Testaverde,00-0016193,6,6,14,1963-11-13,1987.0,TB
2007,CHI,R.Grossman,00-0022121,7,1,14,1980-08-23,2003.0,CHI
2007,CIN,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2007,CLE,D.Anderson,00-0023645,15,2,17,1983-06-15,2005.0,BAL
2007,DAL,T.Romo,00-0021678,16,1,17,1980-04-21,,
2007,DEN,J.Cutler,00-0024226,16,1,17,1983-04-29,2006.0,DEN
2007,DET,J.Kitna,00-0009311,16,1,17,1972-09-21,,
2007,GB,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2007,HOU,M.Schaub,00-0022787,11,1,13,1981-06-25,2004.0,ATL
2007,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2007,JAX,D.Garrard,00-0021231,12,1,16,1978-02-14,2002.0,JAX
2007,KC,D.Huard,00-0007835,10,1,13,1973-07-09,,
2007,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2007,LAR,M.Bulger,00-0019599,12,1,17,1977-04-05,2000.0,NO
2007,LV,J.McCown,00-0021206,9,1,16,1979-07-04,2002.0,ARI
2007,MIA,C.Lemon,00-0020565,7,6,17,1979-08-16,,
2007,MIN,T.Jackson,00-0024279,11,1,17,1983-04-21,2006.0,MIN
2007,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2007,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2007,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2007,NYJ,C.Pennington,00-0019559,8,1,16,1976-06-26,2000.0,NYJ
2007,PHI,D.McNabb,00-0011022,14,1,17,1976-11-25,1999.0,PHI
2007,PIT,B.Roethlisberger,00-0022924,15,1,16,1982-03-02,2004.0,PIT
2007,SEA,M.Hasselbeck,00-0007091,16,1,17,1975-09-25,1998.0,GB
2007,SF,A.Smith,00-0023436,7,1,10,1984-05-07,,
2007,TB,J.Garcia,00-0005755,13,1,16,1970-02-24,,
2007,TEN,V.Young,00-0024218,15,1,17,1983-05-18,2006.0,TEN
2007,WAS,J.Campbell,00-0023460,13,1,14,1981-12-31,2005.0,WAS
2008,ARI,K.Warner,00-0017200,16,1,17,1971-06-22,,
2008,ATL,M.Ryan,00-0026143,16,1,17,1985-05-17,2008.0,ATL
2008,BAL,J.Flacco,00-0026158,16,1,17,1985-01-16,2008.0,BAL
2008,BUF,T.Edwards,00-0025479,14,1,17,1983-10-30,2007.0,BUF
2008,CAR,J.Delhomme,00-0004161,16,1,17,1975-01-10,,
2008,CHI,K.Orton,00-0023541,15,1,17,1982-11-14,2005.0,CHI
2008,CIN,R.Fitzpatrick,00-0023682,12,4,17,1982-11-24,2005.0,LA
2008,CLE,D.Anderson,00-0023645,9,1,13,1983-06-15,2005.0,BAL
2008,DAL,T.Romo,00-0021678,13,1,17,1980-04-21,,
2008,DEN,J.Cutler,00-0024226,16,1,17,1983-04-29,2006.0,DEN
2008,DET,D.Orlovsky,00-0023578,7,6,17,1983-08-18,2005.0,DET
2008,GB,A.Rodgers,00-0023459,16,1,17,1983-12-02,2005.0,GB
2008,HOU,M.Schaub,00-0022787,11,1,17,1981-06-25,2004.0,ATL
2008,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2008,JAX,D.Garrard,00-0021231,16,1,17,1978-02-14,2002.0,JAX
2008,KC,T.Thigpen,00-0025604,11,3,17,1984-04-14,2007.0,MIN
2008,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
2008,LAR,M.Bulger,00-0019599,15,1,17,1977-04-05,2000.0,NO
2008,LV,J.Russell,00-0025388,15,1,17,1985-08-09,2007.0,LV
2008,MIA,C.Pennington,00-0019559,16,1,17,1976-06-26,2000.0,NYJ
2008,MIN,G.Frerotte,00-0005589,11,3,14,1971-07-31,1994.0,WAS
2008,NE,M.Cassel,00-0023662,15,2,17,1982-05-17,2005.0,NE
2008,NO,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
