season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2023,SF,00-0037834,B.Purdy,19,1,True
2023,TB,00-0034855,B.Mayfield,19,1,True
2023,TEN,00-0029701,R.Tannehill,9,1,True
2023,WAS,00-0037077,S.Howell,17,1,True
2024,ARI,00-0035228,K.Murray,17,1,True
2024,ATL,00-0029604,K.Cousins,14,1,True
2024,BAL,00-0034796,L.Jackson,19,1,True
2024,BUF,00-0034857,J.Allen,19,1,True
2024,CAR,00-0039150,B.Young,12,1,True
2024,CHI,00-0039918,C.Williams,17,1,True
2024,CIN,00-0036442,J.Burrow,17,1,True
2024,CLE,00-0031503,J.Winston,7,8,True
2024,DAL,00-0033077,D.Prescott,8,1,True
2024,DEN,00-0039732,B.Nix,18,1,True
2024,DET,00-0033106,J.Goff,18,1,True
2024,GB,00-0036264,J.Love,15,1,True
2024,HOU,00-0039163,C.Stroud,18,1,True
2024,IND,00-0039164,A.Richardson,10,1,True
2024,JAX,00-0036971,T.Lawrence,9,1,True
2024,KC,00-0033873,P.Mahomes,19,1,True
2024,LA,00-0026498,M.Stafford,18,1,True
2024,LAC,00-0036355,J.Herbert,18,1,True
2024,LV,00-0035289,G.Minshew,9,1,True
2024,MIA,00-0036212,T.Tagovailoa,11,1,True
2024,MIN,00-0034869,S.Darnold,18,1,True
2024,NE,00-0039851,D.Maye,10,6,True
2024,NO,00-0031280,D.Carr,10,1,True
2024,NYG,00-0035710,D.Jones,10,1,True
2024,NYJ,00-0023459,A.Rodgers,17,1,True
2024,PHI,00-0036389,J.Hurts,18,1,True
2024,PIT,00-0029263,R.Wilson,12,7,True
2024,SEA,00-0030565,G.Smith,17,1,True
2024,SF,00-0037834,B.Purdy,15,1,True
2024,TB,00-0034855,B.Mayfield,18,1,True
2024,TEN,00-0039152,W.Levis,10,1,True
2024,WAS,00-0039910,J.Daniels,18,1,True
