season,posteam,qb_id,qb_name,plays,games,raw_pass_rate,expected_pass_rate,proe
2012,LV,00-0021429,C.Palmer,894,14,0.6510067114093959,0.6373097820028296,1.3696929406566374
2012,MIA,00-0029701,R.Tannehill,888,15,0.581081081081081,0.5738059506460034,0.7275130435077658
2012,MIN,00-0027950,C.Ponder,969,16,0.5624355005159959,0.5961011545953674,-3.366565407937156
2012,NE,00-0019596,T.Brady,1293,18,0.5784996133023975,0.5336546776463311,4.484493565606638
2012,NO,00-0020531,D.Brees,1036,16,0.666988416988417,0.6109801178553562,5.600829913306075
2012,NYG,00-0022803,E.Manning,935,16,0.5967914438502674,0.5748921656154375,2.1899278234829875
2012,NYJ,00-0026898,M.Sanchez,916,15,0.5338427947598253,0.6005500478295845,-6.670725306975919
2012,PHI,00-0020245,M.Vick,607,9,0.6540362438220758,0.6295936840419125,2.444255978016327
2012,PIT,00-0022924,B.Roethlisberger,775,13,0.6154838709677419,0.583990232016771,3.1493638950970864
2012,SEA,00-0029263,R.Wilson,1041,18,0.5244956772334294,0.5714791883659924,-4.6983511132563
2012,SF,00-0027974,C.Kaepernick,628,11,0.5302547770700637,0.5755088119797266,-4.525403490966292
2012,TB,00-0026993,J.Freeman,972,16,0.6111111111111112,0.5958440704481991,1.5267040662912061
2012,TEN,00-0027946,J.Locker,554,10,0.648014440433213,0.6082048159738203,3.9809624459392756
2012,WAS,00-0029665,R.Griffin,910,16,0.5131868131868131,0.5807771598490384,-6.75903466622253
2013,ARI,00-0021429,C.Palmer,993,16,0.6072507552870091,0.6002773747583411,0.6973380528668023
2013,ATL,00-0026143,M.Ryan,987,16,0.6950354609929078,0.6338455784526156,6.118988254029217
2013,BAL,00-0026158,J.Flacco,1054,16,0.6280834914611005,0.6049334358112919,2.3150055649808734
2013,BUF,00-0030526,E.Manuel,637,10,0.5478806907378336,0.5991079711926929,-5.122728045485926
2013,CAR,00-0027939,C.Newton,1019,17,0.5623159960745829,0.573249310181934,-1.0933314107351144
2013,CHI,00-0024226,J.Cutler,581,10,0.6368330464716007,0.6216755706060312,1.5157475865569459
2013,CIN,00-0027973,A.Dalton,1135,17,0.6026431718061674,0.5730580069075466,2.958516489862083
2013,CLE,00-0029677,B.Weeden,423,7,0.6926713947990544,0.6547140580894817,3.7957336709572633
2013,DAL,00-0021678,T.Romo,856,15,0.6647196261682243,0.5879773871263785,7.674223904184579
2013,DEN,00-0010346,P.Manning,1282,19,0.62402496099844,0.5495231395976709,7.4501821400769135
2013,DET,00-0026498,M.Stafford,1073,16,0.6095060577819198,0.6018135209653773,0.7692536816542547
2013,GB,00-0023459,A.Rodgers,591,9,0.5854483925549916,0.5409149117893878,4.453348076560372
2013,HOU,00-0022787,M.Schaub,555,9,0.6414414414414414,0.6413492508433961,0.009219059804538349
2013,IND,00-0029668,A.Luck,1101,18,0.662125340599455,0.5972101105805098,6.491523001894531
2013,JAX,00-0026197,C.Henne,821,13,0.6419001218026796,0.6291325740997161,1.2767547702963546
2013,KC,00-0023436,A.Smith,985,16,0.6375634517766497,0.5734815971462557,6.408185463039403
2013,LA,00-0024264,K.Clemens,506,9,0.5138339920948617,0.5935849593915486,-7.975096729668704
2013,LAC,00-0022942,P.Rivers,1141,18,0.5539000876424189,0.5715057069001479,-1.7605619257729008
2013,LV,00-0028825,T.Pryor,530,9,0.6075471698113207,0.6114564995615268,-0.3909329750206111
2013,MIA,00-0029701,R.Tannehill,976,16,0.6670081967213115,0.6068289919172368,6.0179204804074695
2013,MIN,00-0027950,C.Ponder,466,8,0.5879828326180258,0.6140452499457439,-2.6062417327718164
2013,NE,00-0019596,T.Brady,1232,18,0.5909090909090909,0.5844247577040662,0.6484333205024724
2013,NO,00-0020531,D.Brees,1170,18,0.6521367521367522,0.584079789239754,6.805696289699811
2013,NYG,00-0022803,E.Manning,931,16,0.6305048335123523,0.6103123328263375,2.019250068601489
2013,NYJ,00-0030565,G.Smith,893,15,0.5475923852183651,0.6024019924896662,-5.480960727130112
2013,PHI,00-0029567,N.Foles,696,12,0.5589080459770115,0.5560785190994455,0.2829526877565973
2013,PIT,00-0022924,B.Roethlisberger,981,16,0.6320081549439348,0.5961091700736263,3.5898984870308523
2013,SEA,00-0029263,R.Wilson,1062,19,0.5301318267419962,0.5749886654152512,-4.4856838673254975
2013,SF,00-0027974,C.Kaepernick,1099,19,0.5332120109190173,0.5556372910673587,-2.2425280148341398
2013,TB,00-0030520,M.Glennon,760,13,0.5973684210526315,0.6202022330737428,-2.283381202111119
2013,TEN,00-0023682,R.Fitzpatrick,603,10,0.6268656716417911,0.6343554509355753,-0.7489779293784257
2013,WAS,00-0029665,R.Griffin,850,13,0.6058823529411764,0.6475918753226014,-4.17095223814249
2014,ARI,00-0025430,D.Stanton,406,8,0.6231527093596059,0.6116522240631392,1.1500485296466667
2014,ATL,00-0026143,M.Ryan,999,16,0.6716716716716716,0.6405644860264059,3.1107185645265742
2014,BAL,00-0026158,J.Flacco,1107,18,0.5817524841915086,0.594702730120211,-1.2950245928702424
2014,BUF,00-0023541,K.Orton,756,12,0.6335978835978836,0.6152784471281819,1.8319436469701704
2014,CAR,00-0027939,C.Newton,1014,16,0.5739644970414202,0.613632705747802,-3.9668208706381876
2014,CHI,00-0024226,J.Cutler,897,15,0.6800445930880713,0.6392479917094727,4.079660137859874
2014,CIN,00-0027973,A.Dalton,1021,17,0.544564152791381,0.5914868259041713,-4.692267311279034
2014,CLE,00-0026625,B.Hoyer,867,14,0.538638985005767,0.6111513462622308,-7.251236125646372
2014,DAL,00-0021678,T.Romo,1007,17,0.5163853028798411,0.5873204429431373,-7.093514006329625
2014,DEN,00-0010346,P.Manning,1075,17,0.6074418604651163,0.5977595177674017,0.968234269771465
2014,DET,00-0026498,M.Stafford,1075,17,0.6483720930232558,0.6288885977275149,1.9483495295740838
2014,GB,00-0023459,A.Rodgers,1045,18,0.6057416267942584,0.5851755031041409,2.056612369011749
2014,HOU,00-0023682,R.Fitzpatrick,664,11,0.5256024096385542,0.6080641787084021,-8.246176906984793
2014,IND,00-0029668,A.Luck,1141,17,0.6660823838737949,0.5825616215224281,8.352076235136686
2014,JAX,00-0031407,B.Bortles,828,14,0.6497584541062802,0.6604805973488928,-1.0722143242612554
2014,KC,00-0023436,A.Smith,877,15,0.6077537058152793,0.5981631548023923,0.9590551012886971
2014,LA,00-0028957,A.Davis,510,9,0.6196078431372549,0.6562171253503538,-3.660928221309886
2014,LAC,00-0022942,P.Rivers,976,16,0.632172131147541,0.6355520574334002,-0.3379926285859136
2014,LV,00-0031280,D.Carr,930,16,0.6698924731182796,0.6546380471277942,1.5254425990485376
2014,MIA,00-0029701,R.Tannehill,1000,16,0.635,0.600838244844228,3.416175515577197
2014,MIN,00-0031237,T.Bridgewater,752,13,0.6156914893617021,0.6238577037138191,-0.816621435211694
2014,NE,00-0019596,T.Brady,1168,18,0.6232876712328768,0.5630705632581949,6.021710797468175
2014,NO,00-0020531,D.Brees,1066,16,0.650093808630394,0.6379204997111384,1.217330891925555
2014,NYG,00-0022803,E.Manning,1051,16,0.5918173168411037,0.6147501620080332,-2.2932845166929554
2014,NYJ,00-0030565,G.Smith,716,11,0.5349162011173184,0.6261183437240939,-9.120214260677551
2014,PHI,00-0026898,M.Sanchez,590,9,0.576271186440678,0.6011696085239113,-2.489842208323337
2014,PIT,00-0022924,B.Roethlisberger,1085,17,0.6258064516129033,0.6033097546478983,2.249669696500499
2014,SEA,00-0029263,R.Wilson,1141,19,0.5390008764241893,0.6026347590843828,-6.363388266019347
2014,SF,00-0027974,C.Kaepernick,966,16,0.5921325051759835,0.614736766400159,-2.260426122417546
2014,TB,00-0021206,J.McCown,561,10,0.6327985739750446,0.6740688013307976,-4.127022735575304
2014,TEN,00-0024296,C.Whitehurst,332,7,0.6325301204819277,0.643329579876848,-1.0799459394920303
2014,WAS,00-0029665,R.Griffin,402,7,0.6119402985074627,0.6509647833285344,-3.902448482107167
2015,ARI,00-0021429,C.Palmer,1068,18,0.601123595505618,0.5851713482234697,1.59522472821483
2015,ATL,00-0026143,M.Ryan,1036,16,0.6283783783783784,0.6282458719204119,0.013250645796649705
2015,BAL,00-0026158,J.Flacco,666,10,0.6366366366366366,0.637176168517576,-0.0539531880939329
2015,BUF,00-0028118,T.Taylor,846,14,0.5425531914893617,0.6363614107951099,-9.380821930574822
2015,CAR,00-0027939,C.Newton,1208,19,0.5339403973509934,0.5647058766026865,-3.076547925169302
2015,CHI,00-0024226,J.Cutler,894,14,0.5637583892617449,0.6281255661516182,-6.436717688987319
2015,CIN,00-0027973,A.Dalton,724,12,0.5828729281767956,0.5776512036794663,0.52217244973293
2015,CLE,00-0031409,J.Manziel,391,7,0.639386189258312,0.6383276172077564,0.10585720505555878
2015,DAL,00-0023662,M.Cassel,348,6,0.5603448275862069,0.6405822550556783,-8.023742746947141
2015,DEN,00-0010346,P.Manning,682,11,0.6085043988269795,0.5979663495553379,1.053804927164159
2015,DET,00-0026498,M.Stafford,913,15,0.6801752464403067,0.6210135349805945,5.916171145971216
2015,GB,00-0023459,A.Rodgers,1164,18,0.6331615120274914,0.6118689546268753,2.1292557400616072
2015,HOU,00-0026625,B.Hoyer,681,12,0.6255506607929515,0.6471660380578558,-2.1615377264904208
2015,IND,00-0007091,M.Hasselbeck,421,8,0.6484560570071259,0.593066056398343,5.539000060878287
2015,JAX,00-0031407,B.Bortles,987,16,0.6808510638297872,0.6569455557379196,2.3905508091867635
2015,KC,00-0023436,A.Smith,1050,18,0.6066666666666667,0.600730737199386,0.5935929467280706
2015,LA,00-0029567,N.Foles,602,11,0.5730897009966778,0.6773941201835475,-10.430441918686974
2015,LAC,00-0022942,P.Rivers,1063,16,0.6538099717779868,0.6379962487414353,1.5813723036551521
2015,LV,00-0031280,D.Carr,916,15,0.6495633187772926,0.6334988773072455,1.606444147004701
2015,MIA,00-0029701,R.Tannehill,950,16,0.6631578947368421,0.6501049356123334,1.3052959124508656
2015,MIN,00-0031237,T.Bridgewater,983,17,0.5493387589013224,0.6174358244803436,-6.809706557902109
