season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2010,TB,00-0026993,J.Freeman,16,1,True
2010,TEN,00-0003292,K.Collins,8,2,True
2010,WAS,00-0011022,D.McNabb,13,1,True
2011,ARI,00-0025423,K.Kolb,8,1,True
2011,ATL,00-0026143,M.Ryan,16,1,True
2011,BAL,00-0026158,J.Flacco,18,1,True
2011,BUF,00-0023682,R.Fitzpatrick,16,1,True
2011,CAR,00-0027939,C.Newton,16,1,True
2011,CHI,00-0024226,J.Cutler,10,1,True
2011,CIN,00-0027973,A.Dalton,17,1,True
2011,CLE,00-0027688,C.McCoy,13,1,True
2011,DAL,00-0021678,T.Romo,15,1,True
2011,DEN,00-0027876,T.Tebow,13,7,True
2011,DET,00-0026498,M.Stafford,17,1,True
2011,GB,00-0023459,A.Rodgers,16,1,True
2011,HOU,00-0022787,M.Schaub,10,1,True
2011,IND,00-0027134,C.Painter,8,4,True
2011,JAX,00-0027948,B.Gabbert,14,3,True
2011,KC,00-0023662,M.Cassel,9,1,True
2011,LA,00-0027854,S.Bradford,10,1,True
2011,LAC,00-0022942,P.Rivers,16,1,True
2011,LV,00-0021429,C.Palmer,9,9,True
2011,MIA,00-0025708,M.Moore,13,4,True
2011,MIN,00-0027950,C.Ponder,8,7,True
2011,NE,00-0019596,T.Brady,19,1,True
2011,NO,00-0020531,D.Brees,18,1,True
2011,NYG,00-0022803,E.Manning,20,1,True
2011,NYJ,00-0026898,M.Sanchez,16,1,True
2011,PHI,00-0020245,M.Vick,13,1,True
2011,PIT,00-0022924,B.Roethlisberger,16,1,True
2011,SEA,00-0024279,T.Jackson,15,1,True
2011,SF,00-0023436,Alex Smith,16,1,True
2011,TB,00-0026993,J.Freeman,15,1,True
2011,TEN,00-0007091,M.Hasselbeck,15,1,True
2011,WAS,00-0022121,R.Grossman,13,1,True
2012,ARI,00-0027754,J.Skelton,5,1,True
2012,ATL,00-0026143,M.Ryan,18,1,True
2012,BAL,00-0026158,J.Flacco,19,1,True
2012,BUF,00-0023682,R.Fitzpatrick,16,1,True
2012,CAR,00-0027939,C.Newton,16,1,True
2012,CHI,00-0024226,J.Cutler,14,1,True
2012,CIN,00-0027973,A.Dalton,17,1,True
2012,CLE,00-0029677,B.Weeden,15,1,True
2012,DAL,00-0021678,T.Romo,16,1,True
2012,DEN,00-0010346,P.Manning,17,1,True
2012,DET,00-0026498,M.Stafford,16,1,True
2012,GB,00-0023459,A.Rodgers,18,1,True
2012,HOU,00-0022787,M.Schaub,18,1,True
2012,IND,00-0029668,A.Luck,17,1,True
2012,JAX,00-0027948,B.Gabbert,8,1,True
2012,KC,00-0023662,M.Cassel,8,1,True
2012,LA,00-0027854,S.Bradford,16,1,True
2012,LAC,00-0022942,P.Rivers,16,1,True
2012,LV,00-0021429,C.Palmer,14,1,True
2012,MIA,00-0029701,R.Tannehill,15,1,True
2012,MIN,00-0027950,C.Ponder,16,1,True
2012,NE,00-0019596,T.Brady,18,1,True
2012,NO,00-0020531,D.Brees,16,1,True
2012,NYG,00-0022803,E.Manning,16,1,True
2012,NYJ,00-0026898,M.Sanchez,15,1,True
2012,PHI,00-0020245,M.Vick,9,1,True
2012,PIT,00-0022924,B.Roethlisberger,13,1,True
2012,SEA,00-0029263,R.Wilson,18,1,True
2012,SF,00-0027974,C.Kaepernick,11,10,True
2012,TB,00-0026993,J.Freeman,16,1,True
2012,TEN,00-0027946,J.Locker,10,1,True
2012,WAS,00-0029665,R.Griffin,16,1,True
2013,ARI,00-0021429,C.Palmer,16,1,True
2013,ATL,00-0026143,M.Ryan,16,1,True
2013,BAL,00-0026158,J.Flacco,16,1,True
2013,BUF,00-0030526,E.Manuel,10,1,True
2013,CAR,00-0027939,C.Newton,17,1,True
2013,CHI,00-0024226,J.Cutler,10,1,True
2013,CIN,00-0027973,A.Dalton,17,1,True
2013,CLE,00-0029677,B.Weeden,7,1,True
2013,DAL,00-0021678,T.Romo,15,1,True
2013,DEN,00-0010346,P.Manning,19,1,True
2013,DET,00-0026498,M.Stafford,16,1,True
2013,GB,00-0023459,A.Rodgers,9,1,True
2013,HOU,00-0022787,M.Schaub,9,1,True
2013,IND,00-0029668,A.Luck,18,1,True
2013,JAX,00-0026197,C.Henne,13,2,True
2013,KC,00-0023436,A.Smith,16,1,True
2013,LA,00-0024264,K.Clemens,9,8,True
2013,LAC,00-0022942,P.Rivers,18,1,True
2013,LV,00-0028825,T.Pryor,9,1,True
2013,MIA,00-0029701,R.Tannehill,16,1,True
2013,MIN,00-0027950,C.Ponder,8,1,True
2013,NE,00-0019596,T.Brady,18,1,True
2013,NO,00-0020531,D.Brees,18,1,True
2013,NYG,00-0022803,E.Manning,16,1,True
2013,NYJ,00-0030565,G.Smith,15,1,True
2013,PHI,00-0029567,N.Foles,12,5,True
2013,PIT,00-0022924,B.Roethlisberger,16,1,True
2013,SEA,00-0029263,R.Wilson,19,1,True
2013,SF,00-0027974,C.Kaepernick,19,1,True
2013,TB,00-0030520,M.Glennon,13,4,True
