season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2021,BAL,00-0035993,T.Huntley,4,276,0.6224704566412788,0.6538311250450903,-3.1360668403811625
2021,CLE,00-0034855,B.Mayfield,14,816,0.5894521144176839,0.6219565272728655,-3.2504412855181744
2021,DEN,00-0031237,T.Bridgewater,14,786,0.5831270179106772,0.6159985469586475,-3.287152904797034
2021,HOU,00-0036898,D.Mills,11,629,0.6211978548274042,0.6562356030862991,-3.5037748258894905
2021,GB,00-0036264,J.Love,1,60,0.65,0.6894458636641503,-3.944586366415024
2021,CHI,00-0029567,N.Foles,1,67,0.582089552238806,0.6262304535997447,-4.41409013609388
2021,DET,00-0033106,J.Goff,14,854,0.6114372385125675,0.656569935213603,-4.513269670103555
2021,IND,00-0032950,C.Wentz,17,1025,0.5515287725238153,0.5973152447348008,-4.578647221098558
2021,PHI,00-0036389,J.Hurts,16,955,0.5719622012587945,0.620553758293731,-4.859155703493651
2021,CHI,00-0036945,J.Fields,10,550,0.5832389832389833,0.6371118635770887,-5.38728803381055
2021,SEA,00-0030565,G.Smith,3,160,0.5467893386862942,0.6013337989381634,-5.454446025186921
2021,CAR,00-0027939,C.Newton,5,229,0.5912691103888287,0.6479973300383352,-5.672821964950636
2021,NO,00-0033357,T.Hill,5,275,0.5192435755143857,0.579940615079334,-6.069703956494832
2021,WAS,00-0031395,G.Gilbert,1,53,0.6226415094339622,0.684194599963584,-6.155309052962177
2021,NE,00-0036972,M.Jones,18,1049,0.5621914597374036,0.6257178203197626,-6.35263605823591
2021,CLE,00-0028986,C.Keenum,2,129,0.4711399711399711,0.5367962411264815,-6.565626998651037
2021,SF,00-0031345,J.Garoppolo,18,1018,0.5349082620093848,0.6054774086823925,-7.056914667300776
2021,NO,00-0032156,T.Siemian,4,238,0.6328328696911842,0.7146130423256094,-8.17801726344252
2021,HOU,00-0028118,Ty.Taylor,2,100,0.4687975646879756,0.5507943546961764,-8.199679000820078
2021,DEN,00-0035704,D.Lock,3,140,0.5827221110909054,0.6651192974869078,-8.239718639600232
2021,TEN,00-0029701,R.Tannehill,18,1146,0.529326494090172,0.6118625593352802,-8.253606524510834
2021,NYG,00-0036197,J.Fromm,2,97,0.6030330062444247,0.699413182431571,-9.638017618714645
2021,DET,00-0034177,T.Boyle,3,168,0.5526138578770158,0.6653791283646966,-11.27652704876808
2021,SF,00-0037012,T.Lance,2,115,0.49637023593466423,0.6123816864407259,-11.601145050606165
2021,PHI,00-0035289,G.Minshew,2,134,0.4925373134328358,0.6135000372444516,-12.096272381161576
2021,WAS,00-0023682,R.Fitzpatrick,1,15,0.5333333333333333,0.6651590625445049,-13.182572921117147
2021,NO,00-0036929,I.Book,1,49,0.5714285714285714,0.705748645930874,-13.432007450230268
2021,NYG,00-0030520,M.Glennon,4,225,0.5317814382673682,0.6786874734814031,-14.690603521403489
2021,CLE,00-0033319,N.Mullens,1,53,0.5471698113207547,0.7306635475383615,-18.349373621760673
2022,KC,00-0033873,P.Mahomes,20,1229,0.6631122762928133,0.5565436847808143,10.649095176044625
2022,CIN,00-0036442,J.Burrow,19,1182,0.6668277222412128,0.5830813113748251,8.374641086638764
2022,BUF,00-0034857,J.Allen,18,1117,0.6605660006238275,0.5964922352405853,6.407376538324218
2022,MIA,00-0036212,T.Tagovailoa,13,659,0.6464742985008869,0.5952473257513389,5.12269727495479
2022,TB,00-0019596,T.Brady,18,1184,0.6858579875024527,0.6374321238493115,4.842586365314128
2022,LAC,00-0036355,J.Herbert,18,1164,0.6804183756320208,0.6345659223896077,4.585245324241315
2022,HOU,00-0034577,K.Allen,2,117,0.7125292740046838,0.6772042780730707,3.5324995931613086
2022,MIN,00-0029604,K.Cousins,18,1078,0.6706831648141407,0.6414067817735897,2.927638304055102
2022,ARI,00-0027688,C.McCoy,3,152,0.6658857482386894,0.6396614922139269,2.6224256024762576
2022,SEA,00-0030565,G.Smith,18,1074,0.6377311658033489,0.6215419805888144,1.6189185214534458
2022,LV,00-0035264,J.Stidham,2,128,0.6393162393162393,0.6287569214427282,1.055931787351112
