season,posteam,qb_id,qb_name,plays,games,called_pass_rate,expected_pass_rate,proe
2020,NYG,00-0035710,D.Jones,796,14,0.6394472361809045,0.6328942727405185,0.6552963440386045
2020,NYJ,00-0034869,S.Darnold,693,12,0.6031746031746031,0.6405958676654281,-3.742126449082493
2020,PHI,00-0032950,C.Wentz,747,12,0.6733601070950469,0.6675856429510008,0.5774464144046048
2020,PIT,00-0022924,B.Roethlisberger,1022,16,0.6673189823874756,0.5959381171248839,7.235933884380498
2020,SEA,00-0029263,R.Wilson,1028,17,0.6663424124513618,0.6057437932959501,6.059861915541182
2020,SF,00-0033319,N.Mullens,533,9,0.6116322701688556,0.6615429651586244,-4.991069498976891
2020,TB,00-0019596,T.Brady,1191,20,0.635600335852225,0.5931673192369847,4.327264717779272
2020,TEN,00-0029701,R.Tannehill,1044,17,0.5229885057471264,0.6148312015002201,-9.184269575309365
2020,WAS,00-0023436,A.Smith,439,8,0.6287015945330297,0.6292962007275474,0.16832981335003447
2021,ARI,00-0035228,K.Murray,936,15,0.6100427350427351,0.613032776197721,-0.08532890182338719
2021,ATL,00-0026143,M.Ryan,959,17,0.6277372262773723,0.6381420845727167,-1.0404858295344461
2021,BAL,00-0034796,L.Jackson,741,11,0.6140350877192983,0.6229516332855953,-0.8916545566297093
2021,BUF,00-0034857,J.Allen,1129,18,0.6439326837909655,0.609553413294038,3.8807968459726436
2021,BUF,00-0034857,Jos.Allen,72,1,0.625,0.5616584776176347,6.334152238236533
2021,CAR,00-0034869,S.Darnold,724,12,0.6312154696132597,0.6278574366909735,0.33580329222861904
2021,CHI,00-0036945,J.Fields,558,10,0.589605734767025,0.6390516646873994,-4.765381522503378
2021,CIN,00-0036442,J.Burrow,1197,20,0.6190476190476191,0.6086059765720626,1.2112486251663346
2021,CLE,00-0034855,B.Mayfield,816,14,0.5857843137254902,0.6251958485135772,-3.941153478808701
2021,DAL,00-0033077,D.Prescott,1089,17,0.6308539944903582,0.6174535242647371,1.340047022562108
2021,DEN,00-0031237,T.Bridgewater,755,13,0.5841059602649007,0.6176239140035695,-3.3517953738668895
2021,DET,00-0033106,J.Goff,854,14,0.6135831381733021,0.6596609474240477,-4.607780925074562
2021,GB,00-0023459,A.Rodgers,523,9,0.6233269598470363,0.5737033001864845,4.962365966055179
2021,GB,00-0023459,Aa.Rodgers,454,8,0.6035242290748899,0.565227743201286,3.829648587360387
2021,HOU,00-0036898,D.Mills,657,12,0.619482496194825,0.6574376179316453,-3.795512173682043
2021,IND,00-0032950,C.Wentz,1025,17,0.5531707317073171,0.597682080794035,-4.35357393306203
2021,JAX,00-0036971,T.Lawrence,997,17,0.6569709127382146,0.6750142764684968,-1.7040354703200855
