team,qb_name,first_start_season,age_at_first_start,era
SF,B.Purdy,2023,23.800136892539356,2020s
SF,C.Beathard,2017,23.912388774811774,2010s
SF,C.Kaepernick,2013,25.949349760438057,2010s
SF,J.Garcia,2000,30.639288158795345,2000s
SF,J.Garoppolo,2019,27.95071868583162,2010s
SF,N.Mullens,2018,23.57015742642026,2010s
SF,S.Hill,2008,28.76659822039699,2000s
SF,T.Rattay,2004,27.586584531143053,2000s
TB,B.Gradkowski,2006,23.71526351813826,2000s
TB,B.Griese,2004,29.579739904175224,2000s
TB,B.Johnson,2001,33.086926762491444,2000s
TB,B.Johnson,2001,33.086926762491444,2000s
TB,B.Johnson,2001,33.086926762491444,2000s
TB,B.Johnson,2001,33.086926762491444,2000s
TB,B.Johnson,2001,33.086926762491444,2000s
TB,B.Mayfield,2023,28.503764544832308,2020s
TB,C.Simms,2005,25.127994524298426,2000s
TB,J.Freeman,2009,21.754962354551676,2000s
TB,J.Garcia,2007,37.637234770705,2000s
TB,J.McCown,2014,35.28268309377139,2010s
TB,J.Winston,2015,21.77138945927447,2010s
TB,M.Glennon,2013,23.84120465434634,2010s
TB,S.King,2000,23.381245722108144,2000s
TB,T.Brady,2020,43.200547570157426,2020s
TEN,B.Volek,2004,28.465434633812457,2000s
TEN,C.Whitehurst,2014,32.19164955509925,2010s
TEN,J.Locker,2012,24.334017796030118,2010s
TEN,K.Collins,2008,35.79192334017796,2000s
TEN,M.Hasselbeck,2011,36.054757015742645,2010s
TEN,M.Mariota,2015,21.95756331279945,2010s
TEN,R.Fitzpatrick,2013,30.8911704312115,2010s
TEN,R.Tannehill,2019,31.21697467488022,2010s
TEN,S.McNair,2000,27.665982203969882,2000s
TEN,V.Young,2006,23.411362080766597,2000s
TEN,W.Levis,2024,25.30321697467488,2020s
WAS,A.Smith,2018,34.4394250513347,2010s
WAS,A.Smith,2018,34.4394250513347,2010s
WAS,A.Smith,2018,34.4394250513347,2010s
WAS,A.Smith,2018,34.4394250513347,2010s
WAS,A.Smith,2018,34.4394250513347,2010s
WAS,A.Smith,2018,34.4394250513347,2010s
WAS,B.Johnson,2000,32.087611225188226,2000s
WAS,B.Johnson,2000,32.087611225188226,2000s
WAS,B.Johnson,2000,32.087611225188226,2000s
WAS,B.Johnson,2000,32.087611225188226,2000s
WAS,B.Johnson,2000,32.087611225188226,2000s
WAS,C.Keenum,2019,31.65776865160849,2010s
WAS,D.McNabb,2010,33.88637919233402,2010s
WAS,J.Campbell,2007,25.78781656399726,2000s
WAS,J.Campbell,2007,25.78781656399726,2000s
WAS,J.Daniels,2024,23.824777549623544,2020s
WAS,J.Daniels,2024,23.824777549623544,2020s
WAS,K.Cousins,2015,27.15400410677618,2010s
WAS,M.Brunell,2005,35.07734428473648,2000s
WAS,P.Ramsey,2003,24.6652977412731,2000s
WAS,R.Griffin,2012,22.67214236824093,2010s
WAS,R.Griffin,2012,22.67214236824093,2010s
WAS,R.Griffin,2012,22.67214236824093,2010s
WAS,R.Grossman,2011,31.143052703627653,2010s
WAS,S.Howell,2023,23.077344284736483,2020s
WAS,S.Matthews,2002,32.37234770704997,2000s
WAS,T.Banks,2001,28.528405201916495,2000s
WAS,T.Heinicke,2021,28.58590006844627,2020s
