player_norm,team,season,age_at_bench
J.Campbell,WAS,2009,9.059548254620124
J.Campbell,WAS,2009,5.552361396303901
J.Cutler,CHI,2015,32.375085557837096
J.Cutler,DEN,2008,25.363449691991786
J.Cutler,MIA,2017,34.38740588637919
J.Daniels,WAS,2024,26.986995208761122
J.Daniels,WAS,2024,23.72347707049966
J.Dobbs,ARI,2023,28.621492128678987
J.Fields,CHI,2023,24.517453798767967
J.Flacco,BAL,2018,33.64544832306639
J.Flacco,DEN,2019,34.64476386036961
J.Freeman,TB,2012,26.360027378507873
J.Garoppolo,SF,2019,27.849418206707735
J.Garoppolo,SF,2022,30.87748117727584
J.Goff,DET,2024,29.90280629705681
J.Goff,LA,2020,25.916495550992472
J.Herbert,LAC,2024,26.49965776865161
J.Hurts,PHI,2024,26.083504449007528
J.Love,GB,2023,24.854209445585216
J.Love,GB,2024,25.845311430527037
J.Love,GB,2024,26.469541409993155
J.McCown,ARI,2004,25.193702943189596
J.McCown,LV,2007,28.18343600273785
J.McCown,NYJ,2017,38.18754277891855
J.McCown,TB,2014,35.17864476386037
J.Miller,CHI,2002,9.073237508555783
J.Miller,CHI,2002,5.579739904175223
J.Miller,CHI,2002,2.6338124572210813
J.Plummer,ARI,2002,2.8829568788501025
J.Plummer,DEN,2006,6.888432580424367
J.Rosen,ARI,2018,21.634496919917865
J.Russell,LV,2008,9.908281998631075
J.Russell,LV,2009,10.924024640657084
J.Russell,LV,2009,6.108145106091718
J.Winston,CLE,2024,30.806297056810404
J.Winston,NO,2021,27.682409308692677
J.Winston,TB,2019,25.67008898015058
K.Allen,CAR,2019,19.561943874058862
K.Allen,CAR,2019,27.4031485284052
K.Allen,CAR,2019,23.540041067761805
K.Clemens,LA,2013,30.39561943874059
K.Cousins,ATL,2024,36.054757015742645
K.Cousins,MIN,2023,35.058179329226554
K.Cousins,WAS,2017,29.059548254620122
K.Murray,ARI,2019,20.810403832991103
K.Murray,ARI,2020,21.82614647501711
K.Murray,ARI,2021,22.822724161533195
K.Murray,ARI,2022,23.81930184804928
K.Murray,ARI,2022,25.09514031485284
K.Murray,ARI,2024,25.812457221081452
K.Murray,ARI,2024,27.08829568788501
K.Pickett,PIT,2023,25.2621492128679
L.Jackson,BAL,2019,22.143737166324435
L.Jackson,BAL,2019,22.666666666666668
L.Jackson,BAL,2019,21.404517453798768
L.Jackson,BAL,2020,23.159479808350444
L.Jackson,BAL,2020,23.682409308692677
L.Jackson,BAL,2020,22.420260095824776
L.Jackson,BAL,2021,24.15879534565366
L.Jackson,BAL,2021,24.681724845995895
L.Jackson,BAL,2021,23.419575633127995
L.Jackson,BAL,2022,25.152635181382614
L.Jackson,BAL,2022,25.675564681724847
L.Jackson,BAL,2022,24.413415468856947
L.Jackson,BAL,2023,26.1492128678987
L.Jackson,BAL,2023,26.67214236824093
L.Jackson,BAL,2023,25.409993155373034
L.Jackson,BAL,2024,27.137577002053387
L.Jackson,BAL,2024,27.66050650239562
L.Jackson,BAL,2024,26.39835728952772
L.Jackson,BAL,2024,21.675564681724847
M.Barkley,CHI,2016,26.116358658453116
M.Cassel,DAL,2015,33.440109514031484
M.Cassel,KC,2012,30.316221765913756
M.Cassel,NE,2008,26.310746064339494
M.Glennon,TB,2013,23.797399041752225
M.Jones,NE,2021,33.021218343600275
M.Jones,NE,2021,22.8911704312115
M.Jones,NE,2021,31.50444900752909
M.Jones,NE,2021,28.517453798767967
M.Jones,NE,2021,22.250513347022586
M.Jones,NE,2021,23.019849418206707
M.Jones,NE,2022,34.01779603011636
M.Jones,NE,2022,23.887748117727583
M.Jones,NE,2022,32.50102669404517
M.Jones,NE,2022,29.51403148528405
M.Jones,NE,2022,23.247091033538673
M.Jones,NE,2022,24.016427104722794
M.Jones,NE,2023,35.01437371663244
M.Jones,NE,2023,24.88432580424367
M.Jones,NE,2023,33.497604380561256
M.Jones,NE,2023,30.510609171800137
M.Jones,NE,2023,24.243668720054757
M.Jones,NE,2023,25.013004791238878
M.Jones,NE,2023,22.913073237508556
M.Mariota,ATL,2022,28.865160848733744
M.Mariota,TEN,2018,24.89801505817933
M.Moore,MIA,2011,10.050650239561945
M.Moore,MIA,2011,27.145790554414784
M.Rudolph,PIT,2019,24.164271047227928
M.Ryan,ATL,2021,36.323066392881586
M.Ryan,IND,2022,37.319644079397676
M.Sanchez,NYJ,2012,25.828884325804243
M.Sanchez,PHI,2014,27.975359342915812
M.Schaub,HOU,2013,32.20807665982204
M.Stafford,DET,2009,21.598904859685145
M.Stafford,DET,2020,32.59958932238193
M.Stafford,LA,2024,36.58590006844627
M.Trubisky,CHI,2020,26.067077344284737
N.Foles,LA,2015,26.64476386036961
N.Foles,PHI,2013,24.709103353867214
N.Mullens,SF,2018,23.616700889801507
N.Mullens,SF,2020,25.522245037645447
P.Mahomes,KC,2024,28.969199178644764
P.Rivers,IND,2020,38.76522929500342
P.Rivers,LAC,2019,37.74948665297741
R.Fitzpatrick,BUF,2012,29.793292265571527
R.Fitzpatrick,CIN,2008,25.845311430527037
R.Fitzpatrick,HOU,2014,31.786447638603697
R.Fitzpatrick,MIA,2019,36.78850102669404
R.Fitzpatrick,NYJ,2016,33.79876796714579
R.Fitzpatrick,TEN,2013,30.86652977412731
R.Griffin,CLE,2016,26.579055441478438
R.Griffin,CLE,2016,26.817248459958932
R.Griffin,CLE,2016,26.666666666666668
R.Griffin,WAS,2012,22.573579739904176
R.Griffin,WAS,2012,22.811772758384667
R.Griffin,WAS,2013,23.572895277207394
R.Griffin,WAS,2013,23.811088295687885
R.Griffin,WAS,2014,24.566735112936346
R.Griffin,WAS,2014,24.804928131416837
R.Griffin,WAS,2014,24.654346338124572
R.Johnson,BUF,2000,2.754277891854894
R.Johnson,BUF,2000,4.766598220396989
R.Johnson,BUF,2000,-0.4106776180698152
R.Johnson,BUF,2000,10.017796030116358
R.Tannehill,MIA,2016,28.125941136208077
R.Tannehill,MIA,2018,30.119096509240247
R.Tannehill,TEN,2023,35.121149897330596
R.Wilson,DEN,2022,30.064339493497606
R.Wilson,DEN,2022,21.232032854209447
R.Wilson,DEN,2023,31.058179329226558
R.Wilson,DEN,2023,22.2258726899384
R.Wilson,DEN,2023,34.77891854893908
R.Wilson,PIT,2024,32.16974674880219
R.Wilson,PIT,2024,23.33744010951403
R.Wilson,PIT,2024,35.89048596851472
R.Wilson,SEA,2012,20.057494866529773
R.Wilson,SEA,2012,11.225188227241615
R.Wilson,SEA,2013,21.05407255304586
R.Wilson,SEA,2013,12.2217659137577
R.Wilson,SEA,2014,22.04243668720055
R.Wilson,SEA,2014,13.210130047912388
R.Wilson,SEA,2015,23.066392881587955
R.Wilson,SEA,2015,14.234086242299794
R.Wilson,SEA,2016,24.06297056810404
R.Wilson,SEA,2016,15.23066392881588
R.Wilson,SEA,2017,25.059548254620122
R.Wilson,SEA,2017,16.227241615331966
R.Wilson,SEA,2018,26.05612594113621
R.Wilson,SEA,2018,17.22381930184805
R.Wilson,SEA,2019,27.052703627652292
R.Wilson,SEA,2019,18.220396988364133
R.Wilson,SEA,2020,28.0684462696783
R.Wilson,SEA,2020,19.236139630390145
R.Wilson,SEA,2021,29.065023956194388
R.Wilson,SEA,2021,20.23271731690623
R.Wilson,SEA,2021,32.785763175906915
S.Bradford,LA,2012,24.83778234086242
S.Bradford,MIN,2016,28.862422997946613
S.Bradford,PHI,2015,27.849418206707735
S.Hill,SF,2008,17.505817932922657
S.Howell,WAS,2023,22.981519507186857
T.Brady,NE,2007,30.099931553730322
T.Brady,NE,2019,42.09719370294319
T.Brady,TB,2022,45.106091718001366
