season,team,qb_name,first_playoff_game,game_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2006,BAL,S.McNair,2006_19_IND_BAL,2007-01-13,S.McNair,TEN,1995.0,BAL,False
2006,CHI,R.Grossman,2006_19_SEA_CHI,2007-01-14,R.Grossman,CHI,2003.0,CHI,True
2006,DAL,T.Romo,2006_18_DAL_SEA,2007-01-06,T.Romo,,,DAL,False
2006,IND,P.Manning,2006_18_KC_IND,2007-01-06,P.Manning,IND,1998.0,IND,True
2006,KC,T.Green,2006_18_KC_IND,2007-01-06,T.Green,WAS,1993.0,KC,False
2006,LAC,P.Rivers,2006_19_NE_SD,2007-01-14,P.Rivers,NYG,2004.0,LAC,False
2006,NE,T.Brady,2006_18_NYJ_NE,2007-01-07,T.Brady,NE,2000.0,NE,True
2006,NO,D.Brees,2006_19_PHI_NO,2007-01-13,D.Brees,LAC,2001.0,NO,False
2006,NYG,E.Manning,2006_18_NYG_PHI,2007-01-07,E.Manning,LAC,2004.0,NYG,False
2006,NYJ,C.Pennington,2006_18_NYJ_NE,2007-01-07,C.Pennington,NYJ,2000.0,NYJ,True
2006,PHI,J.Garcia,2006_18_NYG_PHI,2007-01-07,J.Garcia,,,PHI,False
2006,SEA,M.Hasselbeck,2006_18_DAL_SEA,2007-01-06,M.Hasselbeck,GB,1998.0,SEA,False
2007,DAL,T.Romo,2007_19_NYG_DAL,2008-01-13,T.Romo,,,DAL,False
2007,GB,B.Favre,2007_19_SEA_GB,2008-01-12,B.Favre,ATL,1991.0,GB,False
2007,IND,P.Manning,2007_19_SD_IND,2008-01-13,P.Manning,IND,1998.0,IND,True
2007,JAX,D.Garrard,2007_18_JAX_PIT,2008-01-05,D.Garrard,JAX,2002.0,JAX,True
2007,LAC,P.Rivers,2007_18_TEN_SD,2008-01-06,P.Rivers,NYG,2004.0,LAC,False
2007,NE,T.Brady,2007_19_JAX_NE,2008-01-12,T.Brady,NE,2000.0,NE,True
2007,NYG,E.Manning,2007_18_NYG_TB,2008-01-06,E.Manning,LAC,2004.0,NYG,False
2007,PIT,B.Roethlisberger,2007_18_JAX_PIT,2008-01-05,B.Roethlisberger,PIT,2004.0,PIT,True
2007,SEA,M.Hasselbeck,2007_18_WAS_SEA,2008-01-05,M.Hasselbeck,GB,1998.0,SEA,False
2007,TB,J.Garcia,2007_18_NYG_TB,2008-01-06,J.Garcia,,,TB,False
2007,TEN,V.Young,2007_18_TEN_SD,2008-01-06,V.Young,TEN,2006.0,TEN,True
2007,WAS,T.Collins,2007_18_WAS_SEA,2008-01-05,T.Collins,,,WAS,False
2008,ARI,K.Warner,2008_18_ATL_ARI,2009-01-03,K.Warner,,,ARI,False
2008,ATL,M.Ryan,2008_18_ATL_ARI,2009-01-03,M.Ryan,ATL,2008.0,ATL,True
2008,BAL,J.Flacco,2008_18_BAL_MIA,2009-01-04,J.Flacco,BAL,2008.0,BAL,True
2008,CAR,J.Delhomme,2008_19_ARI_CAR,2009-01-10,J.Delhomme,,,CAR,False
2008,IND,P.Manning,2008_18_IND_SD,2009-01-03,P.Manning,IND,1998.0,IND,True
2008,LAC,P.Rivers,2008_18_IND_SD,2009-01-03,P.Rivers,NYG,2004.0,LAC,False
2008,MIA,C.Pennington,2008_18_BAL_MIA,2009-01-04,C.Pennington,NYJ,2000.0,MIA,False
2008,MIN,T.Jackson,2008_18_PHI_MIN,2009-01-04,T.Jackson,MIN,2006.0,MIN,True
2008,NYG,E.Manning,2008_19_PHI_NYG,2009-01-11,E.Manning,LAC,2004.0,NYG,False
2008,PHI,D.McNabb,2008_18_PHI_MIN,2009-01-04,D.McNabb,PHI,1999.0,PHI,True
2008,PIT,B.Roethlisberger,2008_19_SD_PIT,2009-01-11,B.Roethlisberger,PIT,2004.0,PIT,True
2008,TEN,K.Collins,2008_19_BAL_TEN,2009-01-10,K.Collins,CAR,1995.0,TEN,False
2009,ARI,K.Warner,2009_18_GB_ARI,2010-01-10,K.Warner,,,ARI,False
2009,BAL,J.Flacco,2009_18_BAL_NE,2010-01-10,J.Flacco,BAL,2008.0,BAL,True
2009,CIN,C.Palmer,2009_18_NYJ_CIN,2010-01-09,C.Palmer,CIN,2003.0,CIN,True
2009,DAL,T.Romo,2009_18_PHI_DAL,2010-01-09,T.Romo,,,DAL,False
2009,GB,A.Rodgers,2009_18_GB_ARI,2010-01-10,A.Rodgers,GB,2005.0,GB,True
2009,IND,P.Manning,2009_19_BAL_IND,2010-01-16,P.Manning,IND,1998.0,IND,True
2009,LAC,P.Rivers,2009_19_NYJ_SD,2010-01-17,P.Rivers,NYG,2004.0,LAC,False
2009,MIN,B.Favre,2009_19_DAL_MIN,2010-01-17,B.Favre,ATL,1991.0,MIN,False
2009,NE,T.Brady,2009_18_BAL_NE,2010-01-10,T.Brady,NE,2000.0,NE,True
2009,NO,D.Brees,2009_19_ARI_NO,2010-01-16,D.Brees,LAC,2001.0,NO,False
2009,NYJ,M.Sanchez,2009_18_NYJ_CIN,2010-01-09,M.Sanchez,NYJ,2009.0,NYJ,True
2009,PHI,D.McNabb,2009_18_PHI_DAL,2010-01-09,D.McNabb,PHI,1999.0,PHI,True
2010,ATL,M.Ryan,2010_19_GB_ATL,2011-01-15,M.Ryan,ATL,2008.0,ATL,True
2010,BAL,J.Flacco,2010_18_BAL_KC,2011-01-09,J.Flacco,BAL,2008.0,BAL,True
2010,CHI,J.Cutler,2010_19_SEA_CHI,2011-01-16,J.Cutler,DEN,2006.0,CHI,False
