team,qb_name,first_season,last_season,tenure_len,first_bench_season,replaced_by,age_at_first_start,age_at_first_bench
MIN,K.Cousins,2018,2023,6,2024.0,S.Darnold,30.15,36.16
MIN,S.Darnold,2024,2024,1,,,27.36,
NE,D.Bledsoe,2000,2000,1,2001.0,T.Brady,28.67,29.67
NE,T.Brady,2001,2007,7,2008.0,M.Cassel,24.2,31.2
NE,M.Cassel,2008,2008,1,2009.0,T.Brady,26.41,27.41
NE,T.Brady,2009,2019,11,2020.0,C.Newton,24.2,43.2
NE,C.Newton,2020,2020,1,2021.0,M.Jones,31.43,32.43
NE,M.Jones,2021,2023,3,2024.0,D.Maye,23.11,26.11
NE,D.Maye,2024,2024,1,,,22.13,
NO,J.Blake,2000,2000,1,2001.0,A.Brooks,29.86,30.86
NO,A.Brooks,2001,2005,5,2006.0,D.Brees,25.56,30.56
NO,D.Brees,2006,2020,15,2021.0,J.Winston,27.75,42.75
NO,J.Winston,2021,2021,1,2022.0,A.Dalton,27.77,28.77
NO,A.Dalton,2022,2022,1,2023.0,D.Carr,34.96,35.96
NO,D.Carr,2023,2024,2,,,32.55,
NYG,K.Collins,2000,2003,4,2004.0,K.Warner,27.79,31.79
NYG,K.Warner,2004,2004,1,2005.0,E.Manning,33.32,34.32
NYG,E.Manning,2005,2018,14,2019.0,D.Jones,24.78,38.78
NYG,D.Jones,2019,2022,4,2023.0,T.DeVito,22.38,26.38
NYG,T.DeVito,2023,2023,1,2024.0,D.Jones,25.19,26.19
NYG,D.Jones,2024,2024,1,,,22.38,
NYJ,V.Testaverde,2000,2001,2,2002.0,C.Pennington,36.92,38.92
NYJ,C.Pennington,2002,2004,3,2005.0,B.Bollinger,26.3,29.3
NYJ,B.Bollinger,2005,2005,1,2006.0,C.Pennington,25.92,26.92
NYJ,C.Pennington,2006,2007,2,2008.0,B.Favre,26.3,32.3
NYJ,B.Favre,2008,2008,1,2009.0,M.Sanchez,39.01,40.01
NYJ,M.Sanchez,2009,2012,4,2013.0,G.Smith,22.93,26.93
NYJ,G.Smith,2013,2014,2,2015.0,R.Fitzpatrick,23.01,25.01
NYJ,R.Fitzpatrick,2015,2016,2,2017.0,J.McCown,32.89,34.89
NYJ,J.McCown,2017,2017,1,2018.0,S.Darnold,38.28,39.28
NYJ,S.Darnold,2018,2020,3,2021.0,Z.Wilson,21.36,24.36
NYJ,Z.Wilson,2021,2023,3,2024.0,A.Rodgers,22.2,25.2
NYJ,A.Rodgers,2024,2024,1,,,40.87,
PHI,D.McNabb,2000,2009,10,2010.0,M.Vick,23.89,33.89
PHI,M.Vick,2010,2012,3,2013.0,N.Foles,30.3,33.3
PHI,N.Foles,2013,2013,1,2014.0,M.Sanchez,24.73,25.73
PHI,M.Sanchez,2014,2014,1,2015.0,S.Bradford,27.93,28.93
PHI,S.Bradford,2015,2015,1,2016.0,C.Wentz,27.93,28.94
PHI,C.Wentz,2016,2020,5,2021.0,J.Hurts,23.79,28.79
PHI,J.Hurts,2021,2024,4,,,23.19,
PIT,K.Stewart,2000,2001,2,2002.0,T.Maddox,28.0,30.0
PIT,T.Maddox,2002,2003,2,2004.0,B.Roethlisberger,31.12,33.12
PIT,B.Roethlisberger,2004,2018,15,2019.0,M.Rudolph,22.62,37.62
PIT,M.Rudolph,2019,2019,1,2020.0,B.Roethlisberger,24.25,25.25
PIT,B.Roethlisberger,2020,2021,2,2022.0,K.Pickett,22.62,40.62
PIT,K.Pickett,2022,2023,2,2024.0,R.Wilson,24.36,26.36
PIT,R.Wilson,2024,2024,1,,,35.88,
SEA,J.Kitna,2000,2000,1,2001.0,M.Hasselbeck,28.07,29.07
SEA,M.Hasselbeck,2001,2007,7,2008.0,S.Wallace,26.06,33.06
SEA,S.Wallace,2008,2008,1,2009.0,M.Hasselbeck,28.19,29.19
SEA,M.Hasselbeck,2009,2010,2,2011.0,T.Jackson,26.06,36.05
SEA,T.Jackson,2011,2011,1,2012.0,R.Wilson,28.48,29.49
SEA,R.Wilson,2012,2021,10,2022.0,G.Smith,23.88,33.88
SEA,G.Smith,2022,2024,3,,,32.01,
SF,J.Garcia,2000,2003,4,2004.0,T.Rattay,30.64,34.64
SF,T.Rattay,2004,2004,1,2005.0,A.Smith,27.59,28.59
SF,A.Smith,2005,2007,3,2008.0,S.Hill,21.44,24.44
SF,S.Hill,2008,2008,1,2009.0,A.Smith,28.77,29.77
SF,A.Smith,2009,2012,4,2013.0,C.Kaepernick,21.44,29.44
SF,C.Kaepernick,2013,2016,4,2017.0,C.Beathard,25.95,29.95
SF,C.Beathard,2017,2017,1,2018.0,N.Mullens,23.91,24.91
SF,N.Mullens,2018,2018,1,2019.0,J.Garoppolo,23.57,24.57
SF,J.Garoppolo,2019,2019,1,2020.0,N.Mullens,27.95,28.95
SF,N.Mullens,2020,2020,1,2021.0,J.Garoppolo,23.57,26.57
SF,J.Garoppolo,2021,2022,2,2023.0,B.Purdy,27.95,31.95
SF,B.Purdy,2023,2024,2,,,23.8,
TB,S.King,2000,2000,1,2001.0,B.Johnson,23.38,24.38
TB,B.Johnson,2001,2003,3,2004.0,B.Griese,33.09,36.09
TB,B.Griese,2004,2004,1,2005.0,C.Simms,29.58,30.58
TB,C.Simms,2005,2005,1,2006.0,B.Gradkowski,25.13,26.13
TB,B.Gradkowski,2006,2006,1,2007.0,J.Garcia,23.72,24.71
TB,J.Garcia,2007,2008,2,2009.0,J.Freeman,37.64,39.64
TB,J.Freeman,2009,2012,4,2013.0,M.Glennon,21.75,25.75
TB,M.Glennon,2013,2013,1,2014.0,J.McCown,23.84,24.84
TB,J.McCown,2014,2014,1,2015.0,J.Winston,35.28,36.28
TB,J.Winston,2015,2019,5,2020.0,T.Brady,21.77,26.77
TB,T.Brady,2020,2022,3,2023.0,B.Mayfield,43.2,46.2
