season,team,qb_name,starts,first_start_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2005,LA,M.Bulger,7,2005-09-11,M.Bulger,NO,2000.0,LAR,False
2005,LAC,D.Brees,15,2005-09-11,D.Brees,LAC,2001.0,LAC,True
2005,LV,K.Collins,15,2005-09-08,K.Collins,CAR,1995.0,LV,False
2005,MIA,G.Frerotte,15,2005-09-11,G.Frerotte,WAS,1994.0,MIA,False
2005,MIN,B.Johnson,10,2005-10-30,B.Johnson,MIN,1992.0,MIN,True
2005,NE,T.Brady,15,2005-09-08,T.Brady,NE,2000.0,NE,True
2005,NO,A.Brooks,13,2005-09-11,A.Brooks,GB,1999.0,NO,False
2005,NYG,E.Manning,16,2005-09-11,E.Manning,LAC,2004.0,NYG,False
2005,NYJ,B.Bollinger,10,2005-10-02,B.Bollinger,NYJ,2003.0,NYJ,True
2005,PHI,D.McNabb,9,2005-09-12,D.McNabb,PHI,1999.0,PHI,True
2005,PIT,B.Roethlisberger,12,2005-09-11,B.Roethlisberger,PIT,2004.0,PIT,True
2005,SEA,M.Hasselbeck,15,2005-09-11,M.Hasselbeck,GB,1998.0,SEA,False
2005,SF,A.Smith,7,2005-10-09,A.Smith,SF,2005.0,SF,True
2005,TB,C.Simms,10,2005-10-30,C.Simms,TB,2003.0,TB,True
2005,TEN,S.McNair,13,2005-09-11,S.McNair,TEN,1995.0,TEN,True
2005,WAS,M.Brunell,16,2005-09-11,M.Brunell,GB,1993.0,WAS,False
2006,ARI,M.Leinart,10,2006-10-08,M.Leinart,ARI,2006.0,ARI,True
2006,ATL,M.Vick,15,2006-09-10,M.Vick,ATL,2001.0,ATL,True
2006,BAL,S.McNair,14,2006-09-10,S.McNair,TEN,1995.0,BAL,False
2006,BUF,J.Losman,16,2006-09-10,J.Losman,BUF,2004.0,BUF,True
2006,CAR,J.Delhomme,13,2006-09-10,J.Delhomme,,,CAR,False
2006,CHI,R.Grossman,15,2006-09-10,R.Grossman,CHI,2003.0,CHI,True
2006,CIN,C.Palmer,16,2006-09-10,C.Palmer,CIN,2003.0,CIN,True
2006,CLE,C.Frye,12,2006-09-10,C.Frye,,,CLE,False
2006,DAL,T.Romo,11,2006-10-23,T.Romo,,,DAL,False
