season,qb,team,metric,metric_name,source_file,sheet
2024,Jalen Hurts,PHI,6.3,CPOE,2024.xlsx,Sheet1
2024,Tua Tagovailoa,MIA,1.7,CPOE,2024.xlsx,Sheet1
2024,Russell Wilson,PIT,1.1,CPOE,2024.xlsx,Sheet1
2024,Bryce Young,CAR,2.1,CPOE,2024.xlsx,Sheet1
2024,Drake Maye,NE,3.0,CPOE,2024.xlsx,Sheet1
2024,Derek Carr,NO,3.2,CPOE,2024.xlsx,Sheet1
2024,Jameis Winston,CLE,-2.3,CPOE,2024.xlsx,Sheet1
2024,Will Levis,TEN,-1.6,CPOE,2024.xlsx,Sheet1
2024,Daniel Jones,MIN,-1.3,CPOE,2024.xlsx,Sheet1
2024,Trevor Lawrence,JAX,-3.3,CPOE,2024.xlsx,Sheet1
2024,Gardner Minshew,LV,1.6,CPOE,2024.xlsx,Sheet1
2024,Dak Prescott,DAL,1.9,CPOE,2024.xlsx,Sheet1
2024,Cooper Rush,DAL,-5.6,CPOE,2024.xlsx,Sheet1
2024,Anthony Richardson,IND,-11.2,CPOE,2024.xlsx,Sheet1
2024,Joe Flacco,IND,1.6,CPOE,2024.xlsx,Sheet1
2024,Mac Jones,JAX,-1.5,CPOE,2024.xlsx,Sheet1
2024,Aidan O'Connell,LV,0.8,CPOE,2024.xlsx,Sheet1
2024,Mason Rudolph,TEN,1.6,CPOE,2024.xlsx,Sheet1
2024,Spencer Rattler,NO,-8.6,CPOE,2024.xlsx,Sheet1
2024,Deshaun Watson,CLE,-2.6,CPOE,2024.xlsx,Sheet1
2024,Justin Fields,PIT,0.4,CPOE,2024.xlsx,Sheet1
2024,Drew Lock,NYG,-2.9,CPOE,2024.xlsx,Sheet1
2024,Andy Dalton,CAR,0.8,CPOE,2024.xlsx,Sheet1
2024,Jacoby Brissett,NE,-2.0,CPOE,2024.xlsx,Sheet1
